No.,Time,Src Port,Dst Port,Source,Destination,Protocol,Length
249,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
250,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
251,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
252,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
253,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
254,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
255,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
256,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
257,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
258,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
259,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
260,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
261,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
262,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
263,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
264,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
265,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
266,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
267,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
268,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
269,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
270,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
271,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
272,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
273,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
274,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
275,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
276,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
277,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
278,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
279,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
280,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
281,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
282,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1157
283,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
284,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
285,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
286,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
287,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
288,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
289,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
290,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
291,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
292,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
293,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
294,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
295,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
296,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
297,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
298,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
299,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
300,2017-01-19 18:09:51,80,49308,92.53.119.137,10.1.19.102,TCP,60
301,2017-01-19 18:09:51,49308,80,10.1.19.102,92.53.119.137,TCP,60
302,2017-01-19 18:09:51,49308,80,10.1.19.102,92.53.119.137,HTTP,529
303,2017-01-19 18:09:51,80,49308,92.53.119.137,10.1.19.102,TCP,60
304,2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1514
305,2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1276
306,2017-01-19 18:09:52,49288,80,10.1.19.102,92.53.119.137,TCP,60
307,2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1514
308,2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1514
309,2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1157
310,2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1395
311,2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1395
312,2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1395
313,2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1395
314,2017-01-19 18:09:52,49288,80,10.1.19.102,92.53.119.137,TCP,60
315,2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1395
316,2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1395
317,2017-01-19 18:09:52,49288,80,10.1.19.102,92.53.119.137,TCP,60
318,2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1395
319,2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1395
320,2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1395
321,2017-01-19 18:09:52,80,49288,92.53.119.137,10.1.19.102,TCP,1395
322,2017-01-19 18:09:52,49288,80,10.1.19.102,92.53.119.137,TCP,60
